,in_range_mean,in_range_locvar
314,1.0000671,8.544272e-06
627,1.001416,0.00050602
940,1.0134016,0.005084956
1253,1.1414866,0.019981138
1566,1.3922893,0.025121488
1879,1.8133296,0.043279633
2192,2.183186,0.07894907
2505,2.6326404,0.14094366
2818,2.9327233,0.18219097
3131,3.2968445,0.26435083
3444,3.5419831,0.27730206
3757,3.750144,0.30715692
4070,3.78222,0.28806558
4383,3.955378,0.29383796
4696,4.139242,0.33807626
5009,4.2684765,0.3156523
5322,4.40838,0.36714882
5635,4.5174785,0.32617036
5948,4.603367,0.34058344
6261,4.7588325,0.34730306
6574,4.629035,0.36043385
6887,4.5983653,0.35035908
7200,4.812728,0.350133
7513,4.97931,0.33123836
7826,4.8834934,0.36317495
8139,4.930564,0.36382124
8452,5.1152134,0.3716118
8765,5.0911503,0.36023486
9078,5.2620115,0.336013
9391,5.138354,0.34340355
